UF;FATURA;DOCUMENTO;LOCAL;MEIO;C;S;LOCAL-ORIG;FONE-ORIG;CJ-ORIG;SU-ORIG;PAG;LINHA;LOCAL-DEST;LOCAL-DEST;DDD-DEST;FONE-DEST;HORA;COD;DESC-RESU-COD;VALOR;DURACAO;DEGRAU;GRUPO-HOR;PULSOS;CONCESSIONARIA;PERC-ICMS;PERC-IMPOSTO;COD-EMPRESA;PROD;BLQ-PRESTADORA;NOTA-FISCAL;SERIE-NF;BLOCO;DT-SERVICO;VLR-SERVICO-ICMS;VLR-IMPOSTO;DT-VENC;DT-RECEB;DT-FATURA;DT-COBRANCA;DT-NOVO-VENC;DT-CAIXA;DT-CONTA;CLIENTE;NRC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32725375;0;5;1;1;               ;0;0;0;00:00:00;91801;RET.TRIB.LEI 9430/96-10833/03 ;95,75;000:00:00;0;0;0;0;0;0;OI S.A.                  ;15;1;112295;B;RETENCAO TRIBUTARIA LEIS 9430/96 E 10833/2;20211001;0;0;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32720442;0;4;1;2;               ;0;0;0;00:00:00;10538;ASSINATURA BASICA N/RES       ;110,37;000:00:00;0;0;0;0;30;30;OI S.A.                  ;10;1;112295;B;SERVICOS MENSAIS                          ;20210924;29,811;29,811;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32720442;0;4;1;3;               ;0;0;0;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;79;000:00:00;0;0;0;0;30;30;OI S.A.                  ;50;1;112295;B;LIGACOES LOCAIS                           ;20210924;0;0;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;4;               ;0;0;0;00:00:00;10538;ASSINATURA BASICA N/RES       ;99,37;000:00:00;0;0;0;0;30;30;OI S.A.                  ;10;1;112295;B;SERVICOS MENSAIS                          ;20210924;29,811;29,811;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;5;               ;0;0;0;00:00:00;10538;ASSINATURA BASICA N/RES       ;99,37;000:00:00;0;0;0;0;30;30;OI S.A.                  ;10;1;112295;B;SERVICOS MENSAIS                          ;20210924;29,811;29,811;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;6;               ;0;0;0;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;0;000:00:00;0;0;0;0;30;30;OI S.A.                  ;50;1;112295;B;LIGACOES LOCAIS                           ;20210924;0;0;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;7;COD AREA 84    ;38193;84;998035487;15:28:28;60720;VC1 MESM.AR.TAR.BD B CLARO    ;0,14;000:00:30;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210827;0,042;0,042;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;8;COD AREA 84    ;38193;84;991218190;18:13:58;60720;VC1 MESM.AR.TAR.BD B CLARO    ;0,14;000:00:30;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;0,042;0,042;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;9;COD AREA 84    ;38193;84;999359411;16:17:48;60727;VC1 MESM.AR.TAR.BD A TIM      ;0,14;000:00:30;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;0,042;0,042;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;1,00E+12;4,90E+11;18500;2012310;0;1;3222;32722470;0;9;1;10;COD AREA 84    ;38193;84;999855636;16:20:03;60727;VC1 MESM.AR.TAR.BD A TIM      ;0,14;000:00:30;0;2;0;0;30;30;OI S.A.                  ;70;1;112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;0,042;0,042;20211101;0;20211001;0;20211101;0;202109;MINISTERIO;1,00E+12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
